,HT Capabilities,HT Capabilities,HT Capabilities,Extended Capabilities,Extended Capabilities,Extended Capabilities,Vendor Specific Tags,Vendor Specific Tags,Vendor Specific Tags,Supported Rates,Supported Rates,Supported Rates,Extended Supported Rates,Extended Supported Rates,Extended Supported Rates,VHT Capabilities,VHT Capabilities,VHT Capabilities,HE Capabilities,HE Capabilities,HE Capabilities
,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length
MAC Address,,,,,,,,,,,,,,,,,,,,,
06:3f:62:63:54:b9,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:42:32:e2:32:5a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:46:7c:d1:61:0a,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:48:76:97:01:2a,52,52,52.0,6,6,6.0,18,18,18.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:4b:04:fb:aa:93,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:4c:04:ff:02:ca,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:50:6c:94:7b:ce,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:51:f6:d4:34:db,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:56:e2:c2:b6:61,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:5f:a7:66:92:cb,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:68:15:85:ee:f6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:69:f5:42:76:16,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:6b:97:1c:b5:a5,52,52,52.0,20,20,20.0,14,14,14.0,8,8,8.0,16,16,16.0,24,24,24.0,6,6,6.0
06:70:b0:80:b1:98,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:78:ae:07:23:28,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:83:bc:52:cd:ce,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:88:af:ff:aa:c3,52,52,52.0,15,15,15.0,22,22,22.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:98:83:cb:1a:d8,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:98:ef:f5:76:95,52,52,52.0,3,3,3.0,14,14,14.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:9d:e7:75:30:b6,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:a0:52:0f:77:e1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:a1:87:f5:a6:1d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:a6:03:a7:27:c0,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:ab:08:1b:ad:b1,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:b3:41:0d:f3:51,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:bb:1f:36:74:55,52,52,52.0,17,17,17.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:bf:3e:cf:94:52,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:bf:77:40:2b:3d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:bf:7f:ac:3d:67,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
06:c3:60:54:03:51,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:c9:d3:7a:72:3d,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:d1:13:3d:ec:c9,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
06:d5:5b:12:13:9f,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
