,Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
393,2021-06-29 12:24:22.877872944,da:a1:19:53:38:39,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
394,2021-06-29 08:28:36.781965017,da:a1:19:a4:70:86,11,8.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
395,2021-06-29 08:26:28.852577925,da:a1:19:b1:24:22,11,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
396,2021-06-29 09:04:00.730938911,da:a1:19:03:39:36,1,5.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
397,2021-06-29 12:22:44.068512917,da:a1:19:b8:31:8f,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
398,2021-06-29 09:04:01.021158934,da:a1:19:03:39:36,11,9.0,0,22,53,ITEAD-10002e652f,0,0,-1,-1,171,HuaweiHonor9_R
399,2021-06-29 08:35:43.546514034,da:a1:19:23:48:b8,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
400,2021-06-29 12:33:26.117522955,da:a1:19:9b:5a:2a,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
401,2021-06-29 08:30:06.884907961,da:a1:19:23:48:b8,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
402,2021-06-29 08:32:09.580816031,da:a1:19:34:8e:c7,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
403,2021-06-29 12:32:26.176821947,da:a1:19:73:7c:1f,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
404,2021-06-29 08:41:21.912661076,da:a1:19:88:8d:69,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
405,2021-06-29 13:13:12.104844093,5c:c3:07:07:af:59,11,12.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
406,2021-06-29 13:18:28.004419088,5c:c3:07:07:af:59,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
407,2021-06-29 08:40:19.159388065,da:a1:19:dd:dc:1a,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
408,2021-06-29 12:45:39.489501953,da:a1:19:5c:fd:12,1,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
409,2021-06-29 08:37:13.600665092,da:a1:19:9c:29:b5,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
410,2021-06-29 08:28:36.530505896,da:a1:19:a4:70:86,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
411,2021-06-29 12:47:09.066169024,da:a1:19:a5:4d:95,1,4.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
412,2021-06-29 12:28:01.767834902,da:a1:19:e5:c8:b8,1,3.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
413,2021-06-29 12:36:35.202416897,da:a1:19:fc:2d:92,11,13.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
414,2021-06-29 09:04:01.392200947,da:a1:19:03:39:36,11,13.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
415,2021-06-29 08:30:39.603764057,da:a1:19:71:e5:2a,11,10.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
416,2021-06-29 08:59:00.641593933,da:a1:19:34:8e:70,1,4.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
417,2021-06-29 08:32:37.055668116,da:a1:19:1e:b5:a8,1,5.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
418,2021-06-29 12:34:34.754173040,da:a1:19:8e:c1:f1,1,2.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
419,2021-06-29 12:47:09.480340958,da:a1:19:a5:4d:95,11,9.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
420,2021-06-29 08:34:09.977458000,da:a1:19:2d:5e:0b,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
421,2021-06-29 13:02:09.534837961,da:a1:19:77:c7:c0,11,9.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
422,2021-06-29 12:19:04.678961992,da:a1:19:c1:3e:0a,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
423,2021-06-29 13:02:09.579884052,da:a1:19:77:c7:c0,11,10.0,0,22,53,1ecb967c,0,0,-1,-1,163,HuaweiHonor9_R
424,2021-06-29 08:42:51.612848043,da:a1:19:77:2d:6e,1,1.0,0,22,53,-1,0,0,-1,-1,155,HuaweiHonor9_R
