,Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label,Length NO SSID
25440,2021-06-03 08:38:31.340284109,00:be:3b:a2:a8:56,1,8.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25441,2021-06-03 09:08:28.182100058,00:be:3b:a2:a8:56,1,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25442,2021-06-03 08:45:07.265127897,00:be:3b:a2:a8:56,11,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25443,2021-06-03 10:01:32.477821112,00:be:3b:a2:a8:56,11,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25444,2021-06-03 08:34:23.543790102,00:be:3b:a2:a8:56,11,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25445,2021-06-03 08:38:31.026838064,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25446,2021-06-03 08:37:30.454046965,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25447,2021-06-03 09:51:32.024485111,00:be:3b:a2:a8:56,1,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25448,2021-06-03 08:47:07.200417995,00:be:3b:a2:a8:56,1,1.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25449,2021-06-03 10:00:12.803778887,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25450,2021-06-03 10:37:35.975579977,00:be:3b:a2:a8:56,1,7.0,2,5,54,-1,0,0,-1,-1,145,HuaweiP20_G,145
25451,2021-06-03 08:31:53.123743057,00:be:3b:a2:a8:56,11,2.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25452,2021-06-03 08:50:15.958599091,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25453,2021-06-03 09:37:00.024872065,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25454,2021-06-03 09:02:07.996738911,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25455,2021-06-03 09:28:59.834438086,00:be:3b:a2:a8:56,11,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25456,2021-06-03 08:31:23.172473907,00:be:3b:a2:a8:56,11,9.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25457,2021-06-03 10:00:12.673340082,00:be:3b:a2:a8:56,11,11.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25458,2021-06-03 10:42:35.797151089,00:be:3b:a2:a8:56,6,5.0,2,5,54,-1,0,0,-1,-1,133,HuaweiP20_G,133
25459,2021-06-03 08:37:31.277475119,00:be:3b:a2:a8:56,1,6.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25460,2021-06-03 08:57:07.344662905,00:be:3b:a2:a8:56,1,3.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25461,2021-06-03 09:29:59.886517048,00:be:3b:a2:a8:56,1,7.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25462,2021-06-03 08:47:07.588388920,00:be:3b:a2:a8:56,1,10.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25463,2021-06-03 08:44:07.724296093,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25464,2021-06-03 09:25:20.412456989,00:be:3b:a2:a8:56,11,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25465,2021-06-03 09:30:00.086674929,00:be:3b:a2:a8:56,1,12.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
25466,2021-06-03 08:44:07.769159079,00:be:3b:a2:a8:56,1,13.0,2,4,54,-1,0,0,-1,-1,153,HuaweiP20_G,153
